1,Donald,OConnell,DonaldOConnell@guvi.com,SH_CLERK,2600,2021-03-21
2,Douglas,Grant,DouglasGrant@guvi.com,SH_CLERK,2600,2019-01-13
3,Jennifer,Whalen,JenniferWhalen@gmail.com,AD_ASST,4400,2018-09-17
4,Michael,Hartstein,MichaelHartstein@guvi.com,MK_MAN,13000,2020-02-17
5,Pat,Fay,PatFay@guvi.com,MK_REP,6000,2017-08-17
6,Susan,Mavris,SusanMavris@guvi.com,HR_REP,6500,2020-06-07
7,Hermann,Baer,HermannBaer@gmail.com,PR_REP,10000,2020-06-07
8,Shelley,Higgins,ShelleyHiggins@guvi.com,AC_MGR,12008,2020-06-07
9,William,Gietz,WilliamGietz@guvi.com,AC_ACCOUNT,8300,2020-06-07
10,Steven,King,StevenKing@guvi.com,AD_PRES,24000,2018-06-17
11,Neena,Kochhar,NeenaKochhar@guvi.com,AD_VP,17000,2017-09-21
12,Lex,De Haan,LexDe Haan@gmail.com,AD_VP,17000,2001-01-13
13,Alexander,Hunold,AlexanderHunold@guvi.com,IT_PROG,9000,2022-01-03
14,Bruce,Ernst,BruceErnst@guvi.com,IT_PROG,6000,2021-05-21
15,David,Austin,DavidAustin@guvi.com,IT_PROG,4800,2017-06-25
16,Valli,Pataballa,ValliPataballa@guvi.com,IT_PROG,4800,2022-02-05
17,Diana,Lorentz,DianaLorentz@guvi.com,IT_PROG,4200,2021-02-07
18,Nancy,Greenberg,NancyGreenberg@gmail.com,FI_MGR,12008,2020-08-17
19,Daniel,Faviet,DanielFaviet@guvi.com,FI_ACCOUNT,9000,2020-08-16
20,John,Chen,JohnChen@guvi.com,FI_ACCOUNT,8200,2017-09-28
21,Ismael,Sciarra,IsmaelSciarra@guvi.com,FI_ACCOUNT,7700,2017-09-30
22,Jose Manuel,Urman,Jose ManuelUrman@guvi.com,FI_ACCOUNT,7800,2022-03-07
23,Luis,Popp,LuisPopp@gmail.com,FI_ACCOUNT,6900,2021-03-07
24,Den,Raphaely,DenRaphaely@guvi.com,PU_MAN,11000,2020-12-07
25,Alexander,Khoo,AlexanderKhoo@guvi.com,PU_CLERK,3100,2018-05-18
26,Shelli,Baida,ShelliBaida@guvi.com,PU_CLERK,2900,2017-12-24
27,Sigal,Tobias,SigalTobias@guvi.com,PU_CLERK,2800,2017-07-24
28,Guy,Himuro,GuyHimuro@gmail.com,PU_CLERK,2600,2022-11-15
29,Karen,Colmenares,KarenColmenares@guvi.com,PU_CLERK,2500,2021-08-10
30,Matthew,Weiss,MatthewWeiss@guvi.com,ST_MAN,8000,2020-07-18
31,Adam,Fripp,AdamFripp@gmail.com,ST_MAN,8200,2017-04-10
32,Payam,Kaufling,PayamKaufling@guvi.com,ST_MAN,7900,2018-05-01
33,Shanta,Vollman,ShantaVollman@guvi.com,ST_MAN,6500,2017-10-10
34,Kevin,Mourgos,KevinMourgos@guvi.com,ST_MAN,5800,2021-03-16
35,Julia,Nayer,JuliaNayer@guvi.com,ST_CLERK,3200,2017-07-16
36,Irene,Mikkilineni,IreneMikkilineni@guvi.com,ST_CLERK,2700,2022-09-28
37,James,Landry,JamesLandry@guvi.com,ST_CLERK,2400,2021-01-14
38,Steven,Markle,StevenMarkle@guvi.com,ST_CLERK,2200,2008-03-08
39,Laura,Bissot,LauraBissot@guvi.com,ST_CLERK,3300,2017-08-20
40,Mozhe,Atkinson,MozheAtkinson@guvi.com,ST_CLERK,2800,2017-10-30
41,James,Marlow,JamesMarlow@guvi.com,ST_CLERK,2500,2017-02-16
42,TJ,Olson,TJOlson@guvi.com,ST_CLERK,2100,2021-03-10
43,Jason,Mallin,JasonMallin@guvi.com,ST_CLERK,3300,2020-06-14
44,Michael,Rogers,MichaelRogers@guvi.com,ST_CLERK,2900,2022-08-26
45,Ki,Gee,KiGee@guvi.com,ST_CLERK,2400,2021-12-12
46,Hazel,Philtanker,HazelPhiltanker@guvi.com,ST_CLERK,2200,2008-02-06
47,Renske,Ladwig,RenskeLadwig@guvi.com,ST_CLERK,3600,2018-07-14
48,Stephen,Stiles,StephenStiles@guvi.com,ST_CLERK,3200,2017-10-26
49,John,Seo,JohnSeo@guvi.com,ST_CLERK,2700,2022-02-12
50,Joshua,Patel,JoshuaPatel@guvi.com,ST_CLERK,2500,2022-04-06
